time,lon,lat,u10,v10,cdir,msl,msdwlwrf,r,rainfall,temp
02-05-1979,83,25.5,3.137436797,-0.491559614,0,100139.672,340.9899449,65.70766675,0,41.17523575
03-05-1979,83,25.5,2.154626759,0.155303327,0,100205.9175,315.5382283,85.9247319,0,40.45460129
04-05-1979,83,25.5,1.903158332,0.715519501,58.15500587,100239.9909,331.9938114,90.72195781,0,40.50259018
05-05-1979,83,25.5,2.21860985,0.46230179,58.15500587,100183.1045,330.9050677,82.39591628,0,41.37441635
06-05-1979,83,25.5,1.911342215,1.072563942,58.15500587,100229.4618,335.7639752,68.3013204,0,41.11091995
07-05-1979,83,25.5,1.889022532,0.998615407,58.15500587,100216.4466,345.5937753,66.86241095,0,42.05336761
08-05-1979,83,25.5,2.289288846,-0.017243254,130.8487632,100131.6289,364.5130298,72.58704887,0,42.77492523
09-05-1979,83,25.5,-3.315927526,0.555671153,130.8487632,100154.442,376.6198595,64.6355888,0,43.14152527
10-05-1979,83,25.5,-2.515394899,-0.33843386,130.8487632,100173.3066,397.3059895,64.59167236,0,42.98717117
11-05-1979,83,25.5,-2.969972441,-0.015002389,130.8487632,100240.4296,404.2988346,49.51024809,0,42.27227783
12-05-1979,83,25.5,-2.401564516,-0.084469195,189.0037691,99994.89698,396.9700343,46.43609686,0,41.82774353
13-05-1979,83,25.5,-3.466213391,-0.620035856,261.6975264,99977.49473,409.8109883,46.16484823,0,42.04014206
14-05-1979,83,25.5,-0.476863858,2.349856817,261.6975264,99887.55874,437.626834,38.86696821,0,40.06987381
15-05-1979,83,25.5,-0.476863858,1.936043804,319.8525323,100036.7209,432.6683842,43.30511259,0,40.47038651
16-05-1979,83,25.5,2.589116587,0.493673896,319.8525323,100190.8551,424.5743526,41.9876192,0,38.99274826
17-05-1979,83,25.5,3.611358065,-0.131527353,581.5500587,100128.2655,358.7893487,37.5081417,0,37.57494736
18-05-1979,83,25.5,3.971448949,0.681159575,697.8600705,100241.7457,338.9306639,40.45312691,0,39.36404419
19-05-1979,83,25.5,2.906056084,1.134561198,770.5538278,100050.321,357.4455279,40.50737664,0,40.90726852
20-05-1979,83,25.5,2.474542214,0.227757952,770.5538278,99965.35703,375.4626805,28.06352246,0,42.53955841
21-05-1979,83,25.5,0.598944859,-0.841134506,828.7088337,100247.0102,376.4332177,30.26967805,0,42.53413391
22-05-1979,83,25.5,2.242417512,-0.959900335,901.4025911,100414.0133,394.3446066,33.32832935,0,42.17260361
23-05-1979,83,25.5,1.90464631,-0.555797735,901.4025911,100443.5533,379.8985333,46.03051557,0,40.17487717
24-05-1979,83,25.5,1.801975769,0.883584353,1090.40636,100510.2376,352.8914686,29.92609644,0,39.69237518
25-05-1979,83,25.5,1.736504699,0.253154419,1090.40636,100439.3124,363.834898,33.42132889,0,39.69694901
26-05-1979,83,25.5,2.11445133,0.448856602,1090.40636,100514.7709,378.7973469,41.17645661,0,41.04495239
27-05-1979,83,25.5,2.315328476,-0.242823633,1148.561366,100726.9614,392.6275023,34.93773794,0,40.81180573
28-05-1979,83,25.5,2.554893073,-0.567749014,1221.255123,100502.9257,378.1876504,37.20072657,0,39.44543076
29-05-1979,83,25.5,2.471566257,-0.91956477,1279.410129,100540.6549,376.5140958,38.38647062,0,39.82637405
30-05-1979,83,25.5,3.243827286,0.200120621,1337.565135,100456.7147,354.9818565,44.5373564,0,39.94979858
31-05-1979,83,25.5,3.817443137,0.699833448,1468.413898,100335.9226,342.1844522,50.01399556,0,40.27825928
01-06-1979,83,25.5,2.419486997,0.303947352,1410.258892,100355.0797,365.483567,40.41696042,0,41.59738159
02-06-1979,83,25.5,1.83991923,-1.014428042,1410.258892,100387.9831,371.3876684,73.6565435,0,42.40771484
03-06-1979,83,25.5,2.038564408,0.220288403,1410.258892,100203.8702,377.8703594,77.81310596,0,42.62645721
04-06-1979,83,25.5,3.43503257,0.404039308,1468.413898,100277.1351,357.9619035,73.84254257,0,42.62673569
05-06-1979,83,25.5,1.828759388,1.48413609,1410.258892,100032.3338,368.3080792,67.05099334,0,42.74675751
06-06-1979,83,25.5,-1.380067027,1.387778909,1410.258892,99917.5374,377.3290982,61.90501918,0,44.11990356
